eventdate,timestamp_local,actividad,http_4xx,http_5xx,sum_downloadTime,avg_downloadTime
2025-01-01,2025-01-01 02:40:00,26,2,0,6988,268.77
2025-01-01,2025-01-01 02:45:00,17,1,0,3811,224.18
2025-01-01,2025-01-01 02:50:00,18,1,0,4041,224.5
2025-01-01,2025-01-01 02:55:00,26,0,0,5316,204.46
2025-01-01,2025-01-01 03:00:00,30,1,0,8452,281.73
2025-01-01,2025-01-01 03:05:00,25,1,0,6288,251.52
2025-01-01,2025-01-01 03:10:00,22,2,0,5291,240.5
2025-01-01,2025-01-01 03:15:00,21,1,0,5728,272.76
2025-01-01,2025-01-01 03:20:00,24,1,0,5659,235.79
2025-01-01,2025-01-01 03:25:00,17,1,0,4806,282.71
2025-01-01,2025-01-01 03:30:00,16,1,0,3025,189.06
2025-01-01,2025-01-01 03:35:00,30,1,0,7667,255.57
2025-01-01,2025-01-01 03:40:00,29,0,0,7526,259.52
2025-01-01,2025-01-01 03:45:00,30,0,0,6047,201.57
2025-01-01,2025-01-01 03:50:00,31,1,0,8929,288.03
2025-01-01,2025-01-01 03:55:00,16,2,0,3659,228.69
2025-01-01,2025-01-01 04:00:00,29,0,0,8671,299.0
2025-01-01,2025-01-01 04:05:00,32,1,0,6625,207.03
2025-01-01,2025-01-01 04:10:00,37,0,0,9025,243.92
2025-01-01,2025-01-01 04:15:00,32,1,0,8058,251.81
2025-01-01,2025-01-01 04:20:00,31,4,0,8011,258.42
2025-01-01,2025-01-01 04:25:00,22,1,0,5088,231.27
2025-01-01,2025-01-01 04:30:00,29,3,0,6527,225.07
2025-01-01,2025-01-01 04:35:00,32,2,0,7461,233.16
2025-01-01,2025-01-01 04:40:00,40,0,0,11567,289.18
2025-01-01,2025-01-01 04:45:00,32,1,0,8020,250.62
2025-01-01,2025-01-01 04:50:00,27,3,0,5934,219.78
2025-01-01,2025-01-01 04:55:00,41,2,0,8755,213.54
2025-01-01,2025-01-01 05:00:00,26,2,0,6822,262.38
2025-01-01,2025-01-01 05:05:00,41,0,0,9556,233.07
2025-01-01,2025-01-01 05:10:00,29,1,0,8255,284.66
2025-01-01,2025-01-01 05:15:00,46,0,0,10840,235.65
2025-01-01,2025-01-01 05:20:00,43,1,0,10726,249.44
2025-01-01,2025-01-01 05:25:00,29,0,0,6998,241.31
2025-01-01,2025-01-01 05:30:00,49,2,0,12579,256.71
2025-01-01,2025-01-01 05:35:00,33,3,0,8262,250.36
2025-01-01,2025-01-01 05:40:00,48,1,0,15155,315.73
2025-01-01,2025-01-01 05:45:00,42,1,0,9480,225.71
2025-01-01,2025-01-01 05:50:00,49,2,0,13341,272.27
2025-01-01,2025-01-01 05:55:00,47,1,0,13833,294.32
2025-01-01,2025-01-01 06:00:00,47,1,0,12231,260.23
2025-01-01,2025-01-01 06:05:00,59,2,0,14596,247.39
2025-01-01,2025-01-01 06:10:00,61,6,0,12744,208.92
2025-01-01,2025-01-01 06:15:00,57,1,0,15166,266.07
2025-01-01,2025-01-01 06:20:00,55,5,0,16208,294.69
2025-01-01,2025-01-01 06:25:00,49,0,0,13541,276.35
2025-01-01,2025-01-01 06:30:00,58,3,0,17335,298.88
2025-01-01,2025-01-01 06:35:00,57,3,0,11888,208.56
2025-01-01,2025-01-01 06:40:00,52,1,0,13572,261.0
2025-01-01,2025-01-01 06:45:00,52,3,0,11532,221.77
2025-01-01,2025-01-01 06:50:00,41,1,0,10118,246.78
2025-01-01,2025-01-01 06:55:00,55,2,0,12040,218.91
2025-01-01,2025-01-01 07:00:00,66,2,0,17716,268.42
2025-01-01,2025-01-01 07:05:00,56,3,0,15273,272.73
2025-01-01,2025-01-01 07:10:00,72,4,0,21292,295.72
2025-01-01,2025-01-01 07:15:00,60,1,0,10575,176.25
2025-01-01,2025-01-01 07:20:00,60,2,0,14985,249.75
2025-01-01,2025-01-01 07:25:00,56,3,0,16487,294.41
2025-01-01,2025-01-01 07:30:00,67,4,0,15828,236.24
2025-01-01,2025-01-01 07:35:00,62,1,0,14335,231.21
2025-01-01,2025-01-01 07:40:00,58,2,0,13495,232.67
2025-01-01,2025-01-01 07:45:00,65,4,0,17723,272.66
2025-01-01,2025-01-01 07:50:00,71,2,0,19110,269.15
2025-01-01,2025-01-01 07:55:00,66,1,0,13208,200.12
2025-01-01,2025-01-01 08:00:00,66,3,0,17549,265.89
2025-01-01,2025-01-01 08:05:00,78,4,0,22874,293.26
2025-01-01,2025-01-01 08:10:00,98,4,0,23065,235.36
2025-01-01,2025-01-01 08:15:00,71,4,0,16828,237.01
2025-01-01,2025-01-01 08:20:00,81,4,0,22266,274.89
2025-01-01,2025-01-01 08:25:00,98,4,0,17997,183.64
2025-01-01,2025-01-01 08:30:00,88,4,0,22189,252.15
2025-01-01,2025-01-01 08:35:00,82,2,0,19324,235.66
2025-01-01,2025-01-01 08:40:00,96,6,0,18875,196.61
2025-01-01,2025-01-01 08:45:00,88,3,0,25951,294.9
2025-01-01,2025-01-01 08:50:00,92,5,0,20267,220.29
2025-01-01,2025-01-01 08:55:00,103,2,0,25361,246.22
2025-01-01,2025-01-01 09:00:00,101,5,0,20695,204.9
2025-01-01,2025-01-01 09:05:00,92,4,0,22280,242.17
2025-01-01,2025-01-01 09:10:00,98,3,0,32068,327.22
2025-01-01,2025-01-01 09:15:00,77,2,0,19386,251.77
2025-01-01,2025-01-01 09:20:00,98,5,0,25352,258.69
2025-01-01,2025-01-01 09:25:00,119,3,0,28840,242.35
2025-01-01,2025-01-01 09:30:00,105,1,0,26561,252.96
2025-01-01,2025-01-01 09:35:00,89,1,0,21901,246.08
2025-01-01,2025-01-01 09:40:00,108,4,0,28056,259.78
2025-01-01,2025-01-01 09:45:00,100,4,0,21245,212.45
2025-01-01,2025-01-01 09:50:00,107,5,0,29870,279.16
2025-01-01,2025-01-01 09:55:00,114,1,0,28394,249.07
2025-01-01,2025-01-01 10:00:00,109,4,0,27890,255.87
2025-01-01,2025-01-01 10:05:00,99,3,0,21843,220.64
2025-01-01,2025-01-01 10:10:00,123,6,0,29465,239.55
2025-01-01,2025-01-01 10:15:00,111,4,0,28411,255.95
2025-01-01,2025-01-01 10:20:00,108,3,0,25134,232.72
2025-01-01,2025-01-01 10:25:00,110,3,0,27902,253.65
2025-01-01,2025-01-01 10:30:00,111,6,0,23355,210.41
2025-01-01,2025-01-01 10:35:00,113,7,0,27482,243.2
2025-01-01,2025-01-01 10:40:00,135,5,0,35559,263.4
2025-01-01,2025-01-01 10:45:00,113,3,0,27526,243.59
2025-01-01,2025-01-01 10:50:00,105,3,0,27550,262.38
2025-01-01,2025-01-01 10:55:00,125,4,0,24011,192.09
2025-01-01,2025-01-01 11:00:00,117,10,0,26186,223.81
2025-01-01,2025-01-01 11:05:00,101,3,0,27655,273.81
2025-01-01,2025-01-01 11:10:00,113,4,0,28082,248.51
2025-01-01,2025-01-01 11:15:00,121,7,0,32700,270.25
2025-01-01,2025-01-01 11:20:00,107,6,0,29305,273.88
2025-01-01,2025-01-01 11:25:00,106,4,0,29835,281.46
2025-01-01,2025-01-01 11:30:00,134,7,0,27953,208.6
2025-01-01,2025-01-01 11:35:00,128,3,0,29192,228.06
2025-01-01,2025-01-01 11:40:00,121,9,0,33229,274.62
2025-01-01,2025-01-01 11:45:00,128,5,0,33948,265.22
2025-01-01,2025-01-01 11:50:00,107,5,0,27363,255.73
2025-01-01,2025-01-01 11:55:00,126,7,0,31675,251.39
2025-01-01,2025-01-01 12:00:00,143,5,0,40877,285.85
2025-01-01,2025-01-01 12:05:00,131,2,0,26762,204.29
2025-01-01,2025-01-01 12:10:00,123,6,0,26980,219.35
2025-01-01,2025-01-01 12:15:00,105,4,0,28482,271.26
2025-01-01,2025-01-01 12:20:00,121,6,0,25705,212.44
2025-01-01,2025-01-01 12:25:00,138,9,0,40478,293.32
2025-01-01,2025-01-01 12:30:00,128,3,0,31845,248.79
2025-01-01,2025-01-01 12:35:00,103,4,0,21327,207.06
2025-01-01,2025-01-01 12:40:00,121,5,0,29293,242.09
2025-01-01,2025-01-01 12:45:00,125,2,0,29737,237.9
2025-01-01,2025-01-01 12:50:00,125,2,0,31982,255.86
2025-01-01,2025-01-01 12:55:00,131,2,0,28572,218.11
2025-01-01,2025-01-01 13:00:00,132,7,0,38218,289.53
2025-01-01,2025-01-01 13:05:00,123,3,0,31479,255.93
2025-01-01,2025-01-01 13:10:00,112,4,0,37965,338.97
2025-01-01,2025-01-01 13:15:00,132,6,0,32617,247.1
2025-01-01,2025-01-01 13:20:00,123,6,0,24985,203.13
2025-01-01,2025-01-01 13:25:00,132,8,0,40928,310.06
2025-01-01,2025-01-01 13:30:00,110,4,0,22051,200.46
2025-01-01,2025-01-01 13:35:00,139,6,0,34539,248.48
2025-01-01,2025-01-01 13:40:00,118,4,0,22081,187.13
2025-01-01,2025-01-01 13:45:00,136,4,0,35037,257.62
2025-01-01,2025-01-01 13:50:00,131,6,0,32940,251.45
2025-01-01,2025-01-01 13:55:00,145,5,0,33258,229.37
2025-01-01,2025-01-01 14:00:00,127,5,0,28173,221.83
2025-01-01,2025-01-01 14:05:00,105,7,0,28280,269.33
2025-01-01,2025-01-01 14:10:00,136,4,0,40666,299.01
2025-01-01,2025-01-01 14:15:00,105,5,0,22637,215.59
2025-01-01,2025-01-01 14:20:00,118,7,0,25618,217.1
2025-01-01,2025-01-01 14:25:00,117,4,0,24193,206.78
2025-01-01,2025-01-01 14:30:00,123,6,0,25621,208.3
2025-01-01,2025-01-01 14:35:00,122,5,0,24476,200.62
2025-01-01,2025-01-01 14:40:00,135,4,0,30223,223.87
2025-01-01,2025-01-01 14:45:00,112,5,0,24691,220.46
2025-01-01,2025-01-01 14:50:00,106,3,0,30945,291.93
2025-01-01,2025-01-01 14:55:00,118,7,0,29233,247.74
2025-01-01,2025-01-01 15:00:00,111,5,0,35153,316.69
2025-01-01,2025-01-01 15:05:00,103,3,0,21923,212.84
2025-01-01,2025-01-01 15:10:00,118,5,0,24416,206.92
2025-01-01,2025-01-01 15:15:00,120,4,0,23110,192.58
2025-01-01,2025-01-01 15:20:00,94,3,0,23596,251.02
2025-01-01,2025-01-01 15:25:00,92,5,0,20874,226.89
2025-01-01,2025-01-01 15:30:00,116,5,0,29589,255.08
2025-01-01,2025-01-01 15:35:00,94,6,0,19511,207.56
2025-01-01,2025-01-01 15:40:00,110,4,0,29837,271.25
2025-01-01,2025-01-01 15:45:00,80,2,0,22297,278.71
2025-01-01,2025-01-01 15:50:00,109,8,0,27517,252.45
2025-01-01,2025-01-01 15:55:00,103,4,0,25444,247.03
2025-01-01,2025-01-01 16:00:00,94,5,0,30453,323.97
2025-01-01,2025-01-01 16:05:00,113,3,0,27232,240.99
2025-01-01,2025-01-01 16:10:00,97,3,0,21436,220.99
2025-01-01,2025-01-01 16:15:00,82,1,0,21526,262.51
2025-01-01,2025-01-01 16:20:00,80,2,0,18527,231.59
2025-01-01,2025-01-01 16:25:00,106,7,0,25537,240.92
2025-01-01,2025-01-01 16:30:00,113,6,0,26922,238.25
2025-01-01,2025-01-01 16:35:00,90,2,0,22458,249.53
2025-01-01,2025-01-01 16:40:00,96,3,0,22722,236.69
2025-01-01,2025-01-01 16:45:00,103,7,0,23015,223.45
2025-01-01,2025-01-01 16:50:00,93,3,0,25321,272.27
2025-01-01,2025-01-01 16:55:00,97,2,0,25121,258.98
2025-01-01,2025-01-01 17:00:00,92,1,0,20784,225.91
2025-01-01,2025-01-01 17:05:00,85,3,0,24563,288.98
2025-01-01,2025-01-01 17:10:00,94,1,0,25212,268.21
2025-01-01,2025-01-01 17:15:00,85,4,0,24594,289.34
2025-01-01,2025-01-01 17:20:00,90,4,0,20893,232.14
2025-01-01,2025-01-01 17:25:00,84,3,0,17769,211.54
2025-01-01,2025-01-01 17:30:00,98,7,0,27113,276.66
2025-01-01,2025-01-01 17:35:00,88,3,0,23939,272.03
2025-01-01,2025-01-01 17:40:00,71,4,0,18263,257.23
2025-01-01,2025-01-01 17:45:00,76,4,0,24934,328.08
2025-01-01,2025-01-01 17:50:00,66,3,0,15480,234.55
2025-01-01,2025-01-01 17:55:00,87,0,0,18851,216.68
2025-01-01,2025-01-01 18:00:00,74,1,0,22335,301.82
2025-01-01,2025-01-01 18:05:00,89,3,0,21182,238.0
2025-01-01,2025-01-01 18:10:00,72,1,0,16780,233.06
2025-01-01,2025-01-01 18:15:00,76,5,0,19420,255.53
2025-01-01,2025-01-01 18:20:00,58,4,0,13748,237.03
2025-01-01,2025-01-01 18:25:00,70,5,0,15638,223.4
2025-01-01,2025-01-01 18:30:00,74,1,0,21162,285.97
2025-01-01,2025-01-01 18:35:00,71,2,0,13621,191.85
2025-01-01,2025-01-01 18:40:00,77,3,0,20436,265.4
2025-01-01,2025-01-01 18:45:00,66,1,0,15444,234.0
2025-01-01,2025-01-01 18:50:00,66,3,0,18017,272.98
2025-01-01,2025-01-01 18:55:00,84,1,0,24093,286.82
2025-01-01,2025-01-01 19:00:00,57,1,0,16803,294.79
2025-01-01,2025-01-01 19:05:00,47,0,0,11367,241.85
2025-01-01,2025-01-01 19:10:00,73,4,0,18396,252.0
2025-01-01,2025-01-01 19:15:00,75,4,0,19911,265.48
2025-01-01,2025-01-01 19:20:00,51,3,0,12096,237.18
2025-01-01,2025-01-01 19:25:00,52,2,0,12154,233.73
2025-01-01,2025-01-01 19:30:00,62,2,0,13143,211.98
2025-01-01,2025-01-01 19:35:00,71,4,0,17626,248.25
2025-01-01,2025-01-01 19:40:00,55,1,0,12683,230.6
2025-01-01,2025-01-01 19:45:00,45,2,0,10170,226.0
2025-01-01,2025-01-01 19:50:00,46,2,0,12719,276.5
2025-01-01,2025-01-01 19:55:00,52,0,0,12878,247.65
2025-01-01,2025-01-01 20:00:00,58,3,0,15131,260.88
2025-01-01,2025-01-01 20:05:00,52,3,0,15136,291.08
2025-01-01,2025-01-01 20:10:00,54,4,0,11951,221.31
2025-01-01,2025-01-01 20:15:00,46,0,0,12084,262.7
2025-01-01,2025-01-01 20:20:00,53,5,0,11358,214.3
2025-01-01,2025-01-01 20:25:00,45,1,0,10905,242.33
2025-01-01,2025-01-01 20:30:00,37,3,0,9066,245.03
2025-01-01,2025-01-01 20:35:00,40,2,0,11568,289.2
2025-01-01,2025-01-01 20:40:00,49,1,0,14626,298.49
2025-01-01,2025-01-01 20:45:00,44,2,0,10574,240.32
2025-01-01,2025-01-01 20:50:00,43,2,0,11115,258.49
2025-01-01,2025-01-01 20:55:00,34,1,0,8235,242.21
2025-01-01,2025-01-01 21:00:00,39,1,0,10351,265.41
2025-01-01,2025-01-01 21:05:00,43,2,0,10981,255.37
2025-01-01,2025-01-01 21:10:00,28,2,0,6549,233.89
2025-01-01,2025-01-01 21:15:00,32,1,0,7912,247.25
2025-01-01,2025-01-01 21:20:00,41,3,0,10702,261.02
2025-01-01,2025-01-01 21:25:00,25,0,0,7630,305.2
2025-01-01,2025-01-01 21:30:00,30,0,0,8356,278.53
2025-01-01,2025-01-01 21:35:00,41,0,0,12355,301.34
2025-01-01,2025-01-01 21:40:00,37,4,0,8219,222.14
2025-01-01,2025-01-01 21:45:00,34,3,0,8743,257.15
2025-01-01,2025-01-01 21:50:00,29,2,0,8314,286.69
2025-01-01,2025-01-01 21:55:00,33,1,0,9983,302.52
2025-01-01,2025-01-01 22:00:00,28,3,0,6911,246.82
2025-01-01,2025-01-01 22:05:00,26,0,0,6356,244.46
2025-01-01,2025-01-01 22:10:00,25,0,0,5578,223.12
2025-01-01,2025-01-01 22:15:00,27,0,0,6207,229.89
2025-01-01,2025-01-01 22:20:00,12,0,0,3173,264.42
2025-01-01,2025-01-01 22:25:00,24,1,0,7968,332.0
2025-01-01,2025-01-01 22:30:00,25,1,0,5950,238.0
2025-01-01,2025-01-01 22:35:00,22,0,0,5068,230.36
2025-01-01,2025-01-01 22:40:00,27,0,0,6867,254.33
2025-01-01,2025-01-01 22:45:00,26,1,0,6019,231.5
2025-01-01,2025-01-01 22:50:00,16,1,0,4246,265.38
2025-01-01,2025-01-01 22:55:00,24,0,0,5878,244.92
2025-01-01,2025-01-01 23:00:00,29,2,0,7300,251.72
2025-01-01,2025-01-01 23:05:00,15,0,0,3414,227.6
2025-01-01,2025-01-01 23:10:00,20,0,0,3822,191.1
2025-01-01,2025-01-01 23:15:00,23,2,0,6256,272.0
2025-01-01,2025-01-01 23:20:00,16,1,0,4138,258.62
2025-01-01,2025-01-01 23:25:00,26,0,0,6703,257.81
2025-01-01,2025-01-01 23:30:00,16,1,0,3878,242.38
2025-01-01,2025-01-01 23:35:00,16,0,0,3415,213.44
2025-01-01,2025-01-01 23:40:00,19,0,0,5383,283.32
2025-01-01,2025-01-01 23:45:00,18,0,0,3859,214.39
2025-01-01,2025-01-01 23:50:00,16,0,0,4002,250.12
2025-01-01,2025-01-01 23:55:00,27,0,0,6364,235.7
2025-01-02,2025-01-02 00:00:00,7,1,0,1997,285.29
2025-01-02,2025-01-02 00:05:00,13,0,0,3394,261.08
2025-01-02,2025-01-02 00:10:00,8,0,0,2070,258.75
2025-01-02,2025-01-02 00:15:00,8,1,0,2216,277.0
2025-01-02,2025-01-02 00:20:00,13,0,0,3500,269.23
2025-01-02,2025-01-02 00:25:00,9,0,0,2053,228.11
2025-01-02,2025-01-02 00:30:00,9,1,0,2196,244.0
2025-01-02,2025-01-02 00:35:00,14,2,0,3436,245.43
2025-01-02,2025-01-02 00:40:00,10,0,0,2494,249.4
2025-01-02,2025-01-02 00:45:00,13,1,0,3098,238.31
2025-01-02,2025-01-02 00:50:00,10,0,0,2338,233.8
2025-01-02,2025-01-02 00:55:00,15,0,0,4136,275.73
2025-01-02,2025-01-02 01:00:00,15,2,0,3380,225.33
2025-01-02,2025-01-02 01:05:00,11,0,0,2742,249.27
2025-01-02,2025-01-02 01:10:00,20,2,0,5874,293.7
2025-01-02,2025-01-02 01:15:00,15,0,0,3751,250.07
2025-01-02,2025-01-02 01:20:00,11,0,0,2698,245.27
2025-01-02,2025-01-02 01:25:00,19,1,0,5150,271.05
2025-01-02,2025-01-02 01:30:00,12,0,0,1909,159.08
2025-01-02,2025-01-02 01:35:00,15,0,0,3832,255.47
2025-01-02,2025-01-02 01:40:00,11,2,0,2879,261.73
2025-01-02,2025-01-02 01:45:00,12,0,0,2816,234.67
2025-01-02,2025-01-02 01:50:00,16,1,0,3698,231.12
2025-01-02,2025-01-02 01:55:00,12,0,0,3005,250.42
2025-01-02,2025-01-02 02:00:00,19,0,0,5166,271.89
2025-01-02,2025-01-02 02:05:00,14,1,0,3294,235.29
2025-01-02,2025-01-02 02:10:00,10,0,0,2928,292.8
2025-01-02,2025-01-02 02:15:00,20,4,0,5556,277.8
2025-01-02,2025-01-02 02:20:00,21,0,0,5250,250.0
2025-01-02,2025-01-02 02:25:00,17,0,0,4557,268.06
2025-01-02,2025-01-02 02:30:00,16,1,0,3809,238.06
2025-01-02,2025-01-02 02:35:00,21,1,0,5554,264.48
2025-01-02,2025-01-02 02:40:00,21,0,0,4701,223.86
2025-01-02,2025-01-02 02:45:00,22,1,0,6243,283.77
2025-01-02,2025-01-02 02:50:00,17,0,0,3358,197.53
2025-01-02,2025-01-02 02:55:00,26,1,0,6592,253.54
2025-01-02,2025-01-02 03:00:00,15,0,0,4838,322.53
2025-01-02,2025-01-02 03:05:00,34,1,0,9301,273.56
2025-01-02,2025-01-02 03:10:00,26,1,0,7025,270.19
2025-01-02,2025-01-02 03:15:00,16,0,0,4284,267.75
2025-01-02,2025-01-02 03:20:00,28,1,0,7831,279.68
2025-01-02,2025-01-02 03:25:00,23,0,0,4816,209.39
2025-01-02,2025-01-02 03:30:00,20,1,0,5012,250.6
2025-01-02,2025-01-02 03:35:00,39,1,0,10020,256.92
2025-01-02,2025-01-02 03:40:00,20,2,0,4219,210.95
2025-01-02,2025-01-02 03:45:00,29,2,0,8624,297.38
2025-01-02,2025-01-02 03:50:00,35,0,0,7605,217.29
2025-01-02,2025-01-02 03:55:00,41,1,0,10058,245.32
2025-01-02,2025-01-02 04:00:00,19,1,0,4428,233.05
2025-01-02,2025-01-02 04:05:00,23,0,0,5692,247.48
2025-01-02,2025-01-02 04:10:00,26,1,0,6832,262.77
2025-01-02,2025-01-02 04:15:00,35,2,0,8770,250.57
2025-01-02,2025-01-02 04:20:00,34,2,0,7223,212.44
2025-01-02,2025-01-02 04:25:00,29,1,0,7776,268.14
2025-01-02,2025-01-02 04:30:00,36,1,0,8298,230.5
2025-01-02,2025-01-02 04:35:00,32,3,0,9269,289.66
2025-01-02,2025-01-02 04:40:00,30,1,0,7512,250.4
2025-01-02,2025-01-02 04:45:00,30,0,0,6640,221.33
2025-01-02,2025-01-02 04:50:00,44,3,0,9936,225.82
2025-01-02,2025-01-02 04:55:00,35,4,0,9756,278.74
2025-01-02,2025-01-02 05:00:00,32,0,0,7648,239.0
2025-01-02,2025-01-02 05:05:00,28,2,0,7373,263.32
2025-01-02,2025-01-02 05:10:00,47,3,0,9240,196.6
2025-01-02,2025-01-02 05:15:00,40,0,0,10383,259.57
2025-01-02,2025-01-02 05:20:00,42,2,0,11356,270.38
2025-01-02,2025-01-02 05:25:00,41,2,0,8835,215.49
2025-01-02,2025-01-02 05:30:00,41,4,0,10355,252.56
2025-01-02,2025-01-02 05:35:00,49,3,0,11061,225.73
2025-01-02,2025-01-02 05:40:00,48,2,0,8672,180.67
2025-01-02,2025-01-02 05:45:00,60,7,0,15282,254.7
2025-01-02,2025-01-02 05:50:00,41,4,0,10243,249.83
2025-01-02,2025-01-02 05:55:00,46,3,0,12423,270.07
2025-01-02,2025-01-02 06:00:00,44,3,0,11923,270.98
2025-01-02,2025-01-02 06:05:00,43,2,0,11293,262.63
2025-01-02,2025-01-02 06:10:00,44,2,0,11902,270.5
2025-01-02,2025-01-02 06:15:00,55,1,0,11494,208.98
2025-01-02,2025-01-02 06:20:00,38,1,0,7762,204.26
2025-01-02,2025-01-02 06:25:00,61,0,0,17287,283.39
2025-01-02,2025-01-02 06:30:00,52,2,0,13249,254.79
2025-01-02,2025-01-02 06:35:00,62,1,0,16433,265.05
2025-01-02,2025-01-02 06:40:00,47,1,0,11796,250.98
2025-01-02,2025-01-02 06:45:00,49,3,0,11134,227.22
2025-01-02,2025-01-02 06:50:00,55,2,0,13894,252.62
2025-01-02,2025-01-02 06:55:00,48,2,0,12570,261.88
2025-01-02,2025-01-02 07:00:00,66,1,0,18107,274.35
2025-01-02,2025-01-02 07:05:00,70,2,0,15087,215.53
2025-01-02,2025-01-02 07:10:00,83,4,0,23358,281.42
2025-01-02,2025-01-02 07:15:00,65,2,0,18531,285.09
2025-01-02,2025-01-02 07:20:00,66,3,0,14787,224.05
2025-01-02,2025-01-02 07:25:00,68,2,0,16712,245.76
2025-01-02,2025-01-02 07:30:00,73,2,0,19036,260.77
2025-01-02,2025-01-02 07:35:00,64,1,0,17091,267.05
2025-01-02,2025-01-02 07:40:00,79,4,0,19930,252.28
2025-01-02,2025-01-02 07:45:00,66,3,0,17971,272.29
2025-01-02,2025-01-02 07:50:00,90,5,0,18884,209.82
2025-01-02,2025-01-02 07:55:00,82,3,0,22205,270.79
2025-01-02,2025-01-02 08:00:00,72,0,0,16508,229.28
2025-01-02,2025-01-02 08:05:00,79,2,0,19759,250.11
2025-01-02,2025-01-02 08:10:00,74,1,0,20255,273.72
2025-01-02,2025-01-02 08:15:00,91,2,0,23678,260.2
2025-01-02,2025-01-02 08:20:00,83,4,0,20437,246.23
2025-01-02,2025-01-02 08:25:00,80,3,0,20787,259.84
2025-01-02,2025-01-02 08:30:00,85,7,0,22667,266.67
2025-01-02,2025-01-02 08:35:00,78,1,0,17349,222.42
2025-01-02,2025-01-02 08:40:00,94,1,0,21498,228.7
2025-01-02,2025-01-02 08:45:00,75,3,0,15917,212.23
2025-01-02,2025-01-02 08:50:00,82,5,0,18363,223.94
2025-01-02,2025-01-02 08:55:00,91,4,0,24210,266.04
2025-01-02,2025-01-02 09:00:00,87,4,0,20967,241.0
2025-01-02,2025-01-02 09:05:00,102,5,0,25346,248.49
2025-01-02,2025-01-02 09:10:00,95,6,0,23493,247.29
2025-01-02,2025-01-02 09:15:00,78,3,0,21895,280.71
2025-01-02,2025-01-02 09:20:00,93,3,0,22427,241.15
2025-01-02,2025-01-02 09:25:00,92,2,0,26716,290.39
2025-01-02,2025-01-02 09:30:00,98,2,0,23885,243.72
2025-01-02,2025-01-02 09:35:00,109,6,0,34152,313.32
2025-01-02,2025-01-02 09:40:00,106,6,0,28994,273.53
2025-01-02,2025-01-02 09:45:00,104,3,0,26969,259.32
2025-01-02,2025-01-02 09:50:00,97,4,0,21607,222.75
2025-01-02,2025-01-02 09:55:00,115,6,0,33993,295.59
2025-01-02,2025-01-02 10:00:00,95,4,0,21763,229.08
2025-01-02,2025-01-02 10:05:00,89,2,0,23804,267.46
2025-01-02,2025-01-02 10:10:00,99,2,0,23771,240.11
2025-01-02,2025-01-02 10:15:00,119,3,1,32363,271.96
2025-01-02,2025-01-02 10:20:00,104,4,0,29791,286.45
2025-01-02,2025-01-02 10:25:00,112,2,0,25991,232.06
2025-01-02,2025-01-02 10:30:00,115,4,0,34388,299.03
2025-01-02,2025-01-02 10:35:00,110,6,0,33292,302.65
2025-01-02,2025-01-02 10:40:00,117,4,0,31210,266.75
2025-01-02,2025-01-02 10:45:00,102,4,0,25009,245.19
2025-01-02,2025-01-02 10:50:00,117,5,0,34706,296.63
2025-01-02,2025-01-02 10:55:00,127,6,0,35004,275.62
2025-01-02,2025-01-02 11:00:00,118,2,0,30190,255.85
